ObjNummer;Name;Bereich
BE65;Chlyrot Weiher;A
BE65;Chlyrot Weiher;B
BE71;Elfenaureservat;A
BE71;Elfenaureservat;B
BE91;Steinbruch Ostermundigen;A
BE91;Steinbruch Ostermundigen;B
BE100;Sense- und Schwarzwassergraben;B
BE100;Sense- und Schwarzwassergraben;A
BE116;Schnydere ob Eichholz;B
BE116;Schnydere ob Eichholz;A
BE120;Wehrliau Muribadparkplatz;B
BE120;Wehrliau Muribadparkplatz;A
BE121;Mettlenweiher;A
BE121;Mettlenweiher;B
BE132;Leubachbucht, Wohlensee-Nordufer;A
BE140;Lörmoos;A
BE149;Mettmoos;A
BE151;Kieswerk Schopsberg;B
BE151;Kieswerk Schopsberg;A
BE152;Widi;A
BE152;Widi;B
BE171;Tümpel b. Schulhaus;A
BE171;Tümpel b. Schulhaus;B
BE172;Kiesgrube Mettlen;A
BE174;Tümpel bei Alter Aare Meienried;B
BE174;Tümpel bei Alter Aare Meienried;A
BE181;Wengimoos;A
BE181;Wengimoos;B
BE183;Bermoos;A
BE183;Bermoos;B
BE184;Ziegelei Fischermätteli;A
BE184;Ziegelei Fischermätteli;B
BE189;Oberburger Schachen;A
BE199;Bärmatten;A
BE206;Ziegeleigrube Oberburg;A
BE223;Sessenais;B
BE223;Sessenais;A
BE237;Le Bain, Oversat;A
BE240;Tourbière de la Chaux d'Abel;A
BE254;La Marnière;B
BE254;La Marnière;A
BE262;Etang de Sagne;A
BE262;Etang de Sagne;B
BE269;Lätti Gals;B
BE269;Lätti Gals;A
BE274;Fanel;A
BE281;Leuschelzmoos;A
BE281;Leuschelzmoos;B
BE283;Inser-Weiher;B
BE283;Inser-Weiher;A
BE323;Hahnenmoosbergli;A
BE323;Hahnenmoosbergli;B
BE332;Sumpf unterh. Station Heustrich;B
BE332;Sumpf unterh. Station Heustrich;A
BE337;Stirple;A
BE337;Stirple;B
BE341;Spittelmatte;B
BE341;Spittelmatte;A
BE358;Kanderauen bei Mülenen;A
BE358;Kanderauen bei Mülenen;B
BE372;Lütschisand;A
BE383;Chratzera;B
BE383;Chratzera;A
BE397;Tümpel östl. Underläger;A
BE397;Tümpel östl. Underläger;B
BE403;Grosse Scheidegg;A
BE403;Grosse Scheidegg;B
BE524;Wyssensee;B
BE524;Wyssensee;A
BE534;Wengernalp Weiher;A
BE556;Weissenau;A
BE558;Neuenzälgau;B
BE558;Neuenzälgau;A
BE569;Märchligenau-Flühli;B
BE569;Märchligenau-Flühli;A
BE574;Kleinhöchstettenau;A
BE584;Feuerweiher Houti;A
BE588;Rüfenachtmoos;B
BE588;Rüfenachtmoos;A
BE612;Oltigenmatt-Islere-Oberruntigenau;B
BE612;Oltigenmatt-Islere-Oberruntigenau;A
BE618;Röselisee;A
BE618;Röselisee;B
BE643;Mont Girod 1;A
BE643;Mont Girod 1;B
BE649;Lac Vert;B
BE649;Lac Vert;A
BE650;Mont Girod 2;B
BE650;Mont Girod 2;A
BE672;La Noz, tourbière de La Sagne;A
BE672;La Noz, tourbière de La Sagne;B
BE678;Les Chaufours;A
BE684;Le Châtelet;A
BE684;Le Châtelet;B
BE696;Grube uf der Hole;A
BE696;Grube uf der Hole;B
BE705;Römerareal;A
BE705;Römerareal;B
BE708;Reservat Gryfeberg;A
BE710;Waldgrube Scheuren, Orpundinsel;A
BE710;Waldgrube Scheuren, Orpundinsel;B
BE719;Grien nordwestl. Dotzigen;A
BE742;Ägelsee-Moor;A
BE756;Flachmoor Oberste Gurbs;A
BE756;Flachmoor Oberste Gurbs;B
BE770;Weiher Hinter Richisalp;A
BE770;Weiher Hinter Richisalp;B
BE783;Au-Gand Kander;B
BE783;Au-Gand Kander;A
BE815;Juchli Käserstatt;B
BE815;Juchli Käserstatt;A
BE862;Weiher am Fuss der Gryde;A
BE862;Weiher am Fuss der Gryde;B
BE897;Weiher am Rüschbach;B
BE897;Weiher am Rüschbach;A
BE898;Riedgebiet Saligrabe;A
BE898;Riedgebiet Saligrabe;B
BE913;Lauenensee;A
BE917;Weiher Obere Brüesche;B
BE917;Weiher Obere Brüesche;A
BE930;Tümpel Hornberg Läger;A
BE930;Tümpel Hornberg Läger;B
BE939;Weiher ob Ottenleuebad;B
BE939;Weiher ob Ottenleuebad;A
BE947;Fischbächen Weiher;B
BE947;Fischbächen Weiher;A
BE962;Waldgass-Grube;A
BE968;Aareaue bei Belp;A
BE973;Belpau;A
BE998;Fischzuchtteich Gurnigelbad;B
BE998;Fischzuchtteich Gurnigelbad;A
BE1027;Seeli-Egg, Lochsiten;A
BE1027;Seeli-Egg, Lochsiten;B
BE1052;Heimbergau;B
BE1052;Heimbergau;A
BE1063;Schintere Lerchenfeld;A
BE1063;Schintere Lerchenfeld;B
BE1064;Gwattmösli;B
BE1064;Gwattmösli;A
BE1065;Thuner Allmend;A
BE1081;Buechholz Weiher;A
BE1095;Colas Grube;A
BE1101;Erlimoos;A
BE1101;Erlimoos;B
BE1120;Heideweg;A
BE1127;Muttli;B
BE1127;Muttli;A
BE1135;Cornez de la Mairie;B
BE1135;Cornez de la Mairie;A
BE1136;Vieille Birse;B
BE1136;Vieille Birse;A
BE1139;Biaufond;A
BE1139;Biaufond;B
BE1189;Weihermatt;A
BE1189;Weihermatt;B
BE1206;Chrümpelhütte;A
BE1237;Chnuchelhusgrube;B
BE1237;Chnuchelhusgrube;A
BE1239;Hirschigraben;A
BE1522;Stängelacher;A
BL45;Ziegelei Oberwil;B
BL45;Ziegelei Oberwil;A
BL62;Buechloch;B
BL62;Buechloch;A
BL64;Mooswasen;A
BL111;Talweiher;A
BL111;Talweiher;B
BL171;Bammertsgraben;A
BL171;Bammertsgraben;B
BL173;Herzogenmatt;B
BL173;Herzogenmatt;A
BL191;Mühlebachtal;B
BL191;Mühlebachtal;A
BL598;Steinbruch Andil;B
BL598;Steinbruch Andil;A
BL599;Steingrube Bohlberg;A
BL599;Steingrube Bohlberg;B
BL618;Steinbruch Arlesheim;A
BL618;Steinbruch Arlesheim;B
BL620;Holi Gass;B
BL620;Holi Gass;A
BL623;Klingenthal-Lachmatt;A
BL623;Klingenthal-Lachmatt;B
BS4;Eisweiher und Wiesenmatten;A
BS4;Eisweiher und Wiesenmatten;B
BS10;Autal;A
BS10;Autal;B
FR5;Les Grèves, Gletterens-Portalban;A
FR10;La Russille, Vers les Gours;B
FR10;La Russille, Vers les Gours;A
FR35;Poutes Paluds;B
FR35;Poutes Paluds;A
FR43;Le Liti;B
FR43;Le Liti;A
FR52;Gros Chadoua;A
FR52;Gros Chadoua;B
FR53;Le Mongeron;B
FR53;Le Mongeron;A
FR59;Le Lity;A
FR59;Le Lity;B
FR88;Le Taconnet;A
FR88;Le Taconnet;B
