BE184;Ziegelei Fischermätteli
BE184;Ziegelei Fischermätteli
BE189;Oberburger Schachen
BE199;Bärmatten
BE206;Ziegeleigrube Oberburg
BE223;Sessenais
BE223;Sessenais
BE237;Le Bain, Oversat
BE240;Tourbière de la Chaux d'Abel
BE254;La Marnière
BE254;La Marnière
BE262;Etang de Sagne
BE262;Etang de Sagne
BE269;Lätti Gals
BE269;Lätti Gals
BE274;Fanel
BE281;Leuschelzmoos
BE281;Leuschelzmoos
BE283;Inser-Weiher
BE283;Inser-Weiher
BE323;Hahnenmoosbergli
BE323;Hahnenmoosbergli
BE332;Sumpf unterh. Station Heustrich
BE332;Sumpf unterh. Station Heustrich
BE337;Stirple
BE337;Stirple
BE341;Spittelmatte
BE341;Spittelmatte
BE358;Kanderauen bei Mülenen
BE358;Kanderauen bei Mülenen
BE372;Lütschisand
BE383;Chratzera
BE383;Chratzera
BE397;Tümpel östl. Underläger
BE397;Tümpel östl. Underläger
BE403;Grosse Scheidegg
BE403;Grosse Scheidegg
BE524;Wyssensee
BE524;Wyssensee
BE534;Wengernalp Weiher
BE556;Weissenau
BE558;Neuenzälgau
BE558;Neuenzälgau
BE569;Märchligenau-Flühli
BE569;Märchligenau-Flühli
BE574;Kleinhöchstettenau
BE584;Feuerweiher Houti
BE588;Rüfenachtmoos
BE588;Rüfenachtmoos
BE612;Oltigenmatt-Islere-Oberruntigenau
BE612;Oltigenmatt-Islere-Oberruntigenau
BE618;Röselisee
BE618;Röselisee
BE643;Mont Girod 1
BE643;Mont Girod 1
BE649;Lac Vert
BE649;Lac Vert
BE650;Mont Girod 2
BE650;Mont Girod 2
BE672;La Noz, tourbière de La Sagne
BE672;La Noz, tourbière de La Sagne
BE678;Les Chaufours
BE684;Le Châtelet
BE684;Le Châtelet
BE696;Grube uf der Hole
BE696;Grube uf der Hole
BE705;Römerareal
BE705;Römerareal
BE708;Reservat Gryfeberg
BE710;Waldgrube Scheuren, Orpundinsel
BE710;Waldgrube Scheuren, Orpundinsel
BE719;Grien nordwestl. Dotzigen
BE742;Ägelsee-Moor
BE756;Flachmoor Oberste Gurbs
BE756;Flachmoor Oberste Gurbs
BE770;Weiher Hinter Richisalp
BE770;Weiher Hinter Richisalp
BE783;Au-Gand Kander
