NAME;KANTONSNUM
Weggis;3
Wald (ZH);1
Turbenthal;1
Herisau;15
Bière;22
Kemmental;20
Martigny;23
Valbroye;22
Baar;9
Tramelan;2
Vechigen;2
Icogne;23
Saas-Grund;23
Gonten;16
Les Bois;26
Tschappina;18
Oron;22
Court;2
Altendorf;5
Zillis-Reischen;18
Elgg;1
Chalais;23
Mont-Vully;10
Saint-Gingolph;23
Grandvillard;10
Saint-Cergue;22
Domat/Ems;18
Payerne;22
Homburg;20
La Roche;10
Hundwil;15
Celerina/Schlarigna;18
Vuisternens-devant-Romont;10
Stammheim;1
Petit-Val;2
Riddes;23
Vogorno;21
Ins;2
Dagmersellen;3
Bulle;10
Basel;12
Péry-La Heutte;2
Sonvilier;2
Gersau;5
Hohenrain;3
Brissago;21
Morschach;5
Rossinière;22
Belp;2
Saxon;23
Vallorbe;22
Madiswil;2
Le Locle;24
Bever;18
Triesenberg;
Gampel-Bratsch;23
Basse-Allaine;26
Risch;9
Alpthal;5
Puidoux;22
Finhaut;23
Rothenthurm;5
Beinwil (SO);11
Bever;18
Spiringen;4
Buchegg;11
Rapperswil (BE);2
Baulmes;22
Falera;18
Wimmis;2
Cheyres-Châbles;10
Hinwil;1
Gams;17
Courtelary;2
Bäretswil;1
Heimiswil;2
Signau;2
Triengen;3
Unterbäch;23
Alto Malcantone;21
Corbeyrier;22
Bosco/Gurin;21
Murten;10
Delémont;26
Iseltwald;2
Hasle bei Burgdorf;2
Courtepin;10
Bütschwil-Ganterschwil;17
Neuenegg;2
Lantsch/Lenz;18
Eriz;2
Schleitheim;14
Orvin;2
Mettauertal;19
Thun;2
Courrendlin;26
Arbedo-Castione;21
Gais;15
Biel/Bienne;2
Lauperswil;2
Lützelflüh;2
Wilchingen;14
Worb;2
Vionnaz;23
Vully-les-Lacs;22
Saint-Imier;2
Seedorf (BE);2
Wil (SG);17
Bassins;22
Grône;23
Freienbach;5
Horw;3
Ardon;23
Le Noirmont;26
Emmen;3
Sins;19
Siviriez;10
Hemberg;17
Oberried am Brienzersee;2
Cerentino;21
Monthey;23
Fontenais;26
Aadorf;20
Thayngen;14
Sisikon;4
Schüpfen;2
Mont-la-Ville;22
Courroux;26
Grosswangen;3
Moutier;2
Pfäffikon;1
Giornico;21
Avenches;22
Selzach;11
Krauchthal;2
Saxeten;2
Chavornay;22
Kloten;1
Arbaz;23
San Vittore;18
Wiesendangen;1
Sierre;23
Cham;9
Riederalp;23
Amriswil;20
Satigny;25
Seelisberg;4
Bussnang;20
Gimel;22
Sâles;10
Möhlin;19
Valbirse;2
Beringen;14
Hünenberg;9
Termen;23
Kaltbrunn;17
Murgenthal;19
Leysin;22
Haldenstein;18
Le Mouret;10
Egnach;20
Forel (Lavaux);22
Courgenay;26
Conters im Prättigau;18
Genève;25
Gossau (ZH);1
Montfaucon;26
Cugnasco-Gerra;21
Seedorf (UR);4
Liestal;13
Les Ponts-de-Martel;24
Plasselb;10
Neuchâtel;24
Kaisten;19
Kallnach;2
Schlatt-Haslen;16
Neunkirch;14
Pleigne;26
Vollèges;23
Oberbüren;17
Ennetbürgen;7
Horrenbach-Buchen;2
Sembrancher;23
Pfaffnau;3
Corgémont;2
Hüttwilen;20
Jorat-Menthue;22
Niedergesteln;23
Cugnasco-Gerra;21
Merishausen;14
Törbel;23
Montagny (FR);10
Feusisberg;5
Schwellbrunn;15
Sattel;5
Römerswil;3
Niederbipp;2
La Chaux-du-Milieu;24
Huttwil;2
Gränichen;19
Langenthal;2
Walkringen;2
Rüderswil;2
Wigoltingen;20
Stansstad;7
Hergiswil (NW);7
Utzenstorf;2
Appenzell;16
Bullet;22
Prato (Leventina);21
Wetzikon (ZH);1
Seeberg;2
Boudry;24
St. Antoni;10
Spiez;2
Buttisholz;3
Gündlischwand;2
Ingenbohl;5
Muttenz;13
Delley-Portalban;10
La Rippe;22
Bolligen;2
Benken (SG);17
Oberdiessbach;2
Wängi;20
Aigle;22
Niederhelfenschwil;17
Schattdorf;4
Kleinlützel;11
Seewen;11
Herbetswil;11
Villeret;2
L'Isle;22
Oberdorf (NW);7
Alterswil;10
Ueberstorf;10
Brot-Plamboz;24
Bülach;1
Blonay;22
Rheinfelden;19
Savigny;22
Gurmels;10
Trachselwald;2
Buchs (SG);17
Walchwil;9
Schaan;
Niederbüren;17
Werthenstein;3
Münsingen;2
Flüelen;4
St. Ursen;10
Balsthal;11
Le Cerneux-Péquignot;24
Langenbruck;13
Trubschachen;2
Moudon;22
Basadingen-Schlattingen;20
Thundorf;20
Burgdorf;2
