Gemeindename;Rohe Heiratssziffer
Künten;5.8
Mägenwil;7.1
Mellingen;5.2
Neuenhof;5.4
Niederrohrdorf;6.2
Oberrohrdorf;3.2
Obersiggenthal;5.9
Remetschwil;2.9
Spreitenbach;4.5
Stetten (AG);5.4
Turgi;6.4
Untersiggenthal;3.9
Wettingen;4.8
Wohlenschwil;3.2
Würenlingen;4.5
Würenlos;4.4
Ehrendingen;4.2
Arni (AG);4.8
Berikon;6.4
Bremgarten (AG);5.4
Büttikon;5.0
Dottikon;6.4
Eggenwil;4.0
Fischbach-Göslikon;6.1
Hägglingen;4.9
Jonen;3.4
Niederwil (AG);4.2
Oberlunkhofen;6.0
Oberwil-Lieli;4.7
Rudolfstetten-Friedlisberg;5.1
Sarmenstorf;5.6
Tägerig;2.0
Uezwil;6.4
Unterlunkhofen;6.6
Villmergen;6.6
Widen;3.3
Wohlen (AG);4.8
Zufikon;4.3
Islisberg;3.2
Auenstein;3.8
Birr;3.8
Birrhard;10.0
Bözen;8.1
Brugg;5.7
Effingen;5.0
Elfingen;0.0
Habsburg;2.3
Hausen (AG);7.1
Lupfig;5.0
Mandach;5.9
Mönthal;0.0
Mülligen;6.5
Remigen;9.4
Riniken;2.7
Rüfenach;3.5
Schinznach-Bad;4.6
Thalheim (AG);7.2
Veltheim (AG);4.9
Villigen;4.8
Villnachern;6.7
Windisch;4.8
Bözberg;3.2
Schinznach;1.8
Beinwil am See;7.6
Birrwil;8.5
Burg (AG);4.9
Dürrenäsch;5.7
Gontenschwil;4.3
Holziken;3.8
Leimbach (AG);4.3
Leutwil;5.2
Menziken;5.7
Oberkulm;3.7
Reinach (AG);4.7
Schlossrued;4.8
Schmiedrued;4.3
Schöftland;5.4
Teufenthal (AG);3.1
Unterkulm;4.6
Zetzwil;5.3
Eiken;6.2
Frick;5.0
Gansingen;2.0
Gipf-Oberfrick;5.7
Herznach;3.4
Hornussen;8.4
Kaisten;5.7
Laufenburg;4.2
Münchwilen (AG);6.5
Oberhof;3.3
Oeschgen;4.0
Schwaderloch;3.0
Sisseln;5.1
Ueken;6.7
Wittnau;5.4
Wölflinswil;5.8
Zeihen;9.6
Mettauertal;9.2
Ammerswil;7.3
Boniswil;3.6
Brunegg;1.3
Dintikon;2.7
Egliswil;3.6
Fahrwangen;2.9
Hallwil;6.9
Hendschiken;3.3
Holderbank (AG);10.0
Hunzenschwil;5.5
Lenzburg;8.3
Meisterschwanden;6.2
Möriken-Wildegg;3.4
Niederlenz;5.9
Othmarsingen;7.3
Rupperswil;7.4
Schafisheim;3.0
Seengen;2.8
Seon;4.6
Staufen;4.7
Abtwil;3.0
Aristau;4.2
Auw;2.9
Beinwil (Freiamt);2.7
Besenbüren;6.5
Bettwil;9.7
Boswil;4.3
Bünzen;8.4
Buttwil;5.7
Dietwil;6.1
Geltwil;0.0
Kallern;11.1
Merenschwand;4.0
Mühlau;7.1
Muri (AG);4.9
Oberrüti;5.1
Rottenschwil;5.0
Sins;4.2
Waltenschwil;3.2
Hellikon;2.5
Kaiseraugst;5.7
Magden;3.1
Möhlin;4.7
Mumpf;3.5
Obermumpf;1.9
Olsberg;0.0
Rheinfelden;7.8
Schupfart;4.9
Stein (AG);4.7
Wallbach;5.2
Wegenstetten;2.8
Zeiningen;3.5
Zuzgen;2.3
Aarburg;4.9
Bottenwil;0.0
Brittnau;6.7
Kirchleerau;5.9
Kölliken;5.5
Moosleerau;4.4
Murgenthal;3.1
Oftringen;4.9
Reitnau;3.8
Rothrist;4.4
Safenwil;3.7
Staffelbach;6.0
Strengelbach;4.2
Uerkheim;4.4
Vordemwald;3.1
Wiliberg;0.0
Zofingen;6.4
Baldingen;7.5
Böbikon;11.6
Böttstein;3.3
Döttingen;4.6
Endingen;1.6
Fisibach;8.5
Full-Reuenthal;2.3
Kaiserstuhl;4.8
Klingnau;4.4
Koblenz;2.4
Leibstadt;2.3
Lengnau (AG);2.2
Leuggern;2.3
Mellikon;8.0
Rekingen (AG);7.1
Rietheim;1.3
Rümikon;3.2
Schneisingen;3.6
Siglistorf;6.3
Tegerfelden;4.2
Wislikofen;2.9
Bad Zurzach;6.2
Arbon;4.6
Dozwil;1.4
Egnach;6.0
Hefenhofen;3.3
Horn;4.5
Kesswil;3.0
Roggwil (TG);6.5
Romanshorn;5.4
Salmsach;3.5
Sommeri;7.2
Uttwil;4.3
Amriswil;6.0
Bischofszell;6.4
Erlen;4.6
Hauptwil-Gottshaus;2.6
Hohentannen;3.3
Kradolf-Schönenberg;5.6
Sulgen;6.1
Zihlschlacht-Sitterdorf;4.7
Basadingen-Schlattingen;5.5
Diessenhofen;3.9
Schlatt (TG);6.6
Aadorf;5.5
Felben-Wellhausen;5.4
Frauenfeld;5.7
Gachnang;4.7
Hüttlingen;5.9
Matzingen;6.8
Neunforn;4.0
Stettfurt;4.2
Thundorf;3.4
Uesslingen-Buch;3.7
Warth-Weiningen;2.3
Altnau;3.2
Bottighofen;6.0
Ermatingen;4.8
Gottlieben;5.9
Güttingen;6.3
Kemmental;4.0
Kreuzlingen;5.4
Langrickenbach;3.8
Lengwil;7.1
Münsterlingen;4.4
Tägerwilen;3.1
Wäldi;1.9
Affeltrangen;5.9
Bettwiesen;4.9
Bichelsee-Balterswil;7.1
Braunau;7.8
Eschlikon;5.1
Fischingen;5.2
Lommis;3.3
Münchwilen (TG);6.4
Rickenbach (TG);6.8
Schönholzerswilen;3.6
Sirnach;5.6
Tobel-Tägerschen;7.5
Wängi;5.2
Wilen (TG);4.0
Wuppenau;2.7
Berlingen;1.1
Eschenz;6.9
Herdern;2.9
Homburg;3.9
Hüttwilen;4.7
Mammern;0.0
Müllheim;3.4
Pfyn;3.5
Raperswilen;2.5
Salenstein;3.1
Steckborn;3.7
Wagenhausen;2.4
Amlikon-Bissegg;3.0
Berg (TG);4.8
Birwinken;3.7
Bürglen (TG);6.4
Bussnang;2.6
Märstetten;6.4
Weinfelden;5.7
Wigoltingen;6.2
Arbedo-Castione;2.8
Bellinzona;4.4
Cadenazzo;7.3
Isone;7.9
Lumino;3.4
Sant'Antonino;3.6
Acquarossa;2.7
Blenio;2.2
Serravalle;4.8
Airolo;1.3
Bedretto;0.0
Bodio;1.9
Dalpe;0.0
Faido;2.0
Giornico;3.4
Personico;8.8
Pollegio;2.6
Prato (Leventina);11.9
Quinto;2.8
Ascona;2.7
Brione (Verzasca);0.0
Brione sopra Minusio;2.0
Brissago;0.6
Corippo;0.0
Frasco;0.0
Gordola;4.3
Lavertezzo;3.0
Locarno;4.2
Losone;2.6
Mergoscia;9.3
Minusio;3.0
Muralto;3.7
Orselina;2.7
Ronco sopra Ascona;3.3
Sonogno;0.0
Tenero-Contra;5.5
Vogorno;7.3
Onsernone;0.0
Cugnasco-Gerra;4.5
Agno;3.6
Aranno;5.4
Arogno;4.0
Astano;3.3
Bedano;3.9
Bedigliora;0.0
Bioggio;3.8
Bissone;8.7
Brusino Arsizio;4.1
Cademario;5.0
Cadempino;6.6
Canobbio;4.2
Caslano;2.1
Comano;2.9
Croglio;5.8
Cureglia;4.4
Curio;1.8
Grancia;11.5
Gravesano;3.8
Lamone;2.8
Lugano;4.0
Magliaso;1.9
Manno;3.8
Maroggia;8.9
Massagno;3.5
Melano;3.4
Melide;5.5
Mezzovico-Vira;3.7
Miglieglia;0.0
Monteggio;2.2
Morcote;5.4
Muzzano;5.0
Neggio;6.2
Novaggio;1.2
Origlio;0.7
Paradiso;3.6
Ponte Capriasca;2.1
Ponte Tresa;3.7
Porza;1.3
Pura;1.4
Rovio;2.4
Savosa;4.5
Sessa;2.9
Sorengo;2.8
Capriasca;4.5
Torricella-Taverne;4.2
Vernate;1.7
Vezia;3.6
Vico Morcote;2.6
Collina d'Oro;2.3
Alto Malcantone;5.0
Monteceneri;6.6
Balerna;3.3
Castel San Pietro;3.8
Chiasso;3.3
Coldrerio;4.5
Mendrisio;3.4
Morbio Inferiore;2.6
Novazzano;2.1
Riva San Vitale;3.4
Stabio;4.8
Vacallo;4.4
Breggia;3.4
Biasca;2.9
Riviera;5.3
Bosco/Gurin;19.0
Campo (Vallemaggia);0.0
Cerentino;0.0
Cevio;3.4
Linescio;0.0
Maggia;4.2
Lavizzara;1.8
Avegno Gordevio;5.4
Terre di Pedemonte;3.5
Centovalli;2.6
Gambarogno;4.5
Aigle;4.6
Bex;4.7
Chessel;0.0
Corbeyrier;2.3
Gryon;3.7
Lavey-Morcles;4.3
Leysin;2.7
Noville;2.8
Ollon;2.8
Ormont-Dessous;2.7
Ormont-Dessus;2.7
Rennaz;4.7
Roche (VD);4.3
Villeneuve (VD);4.8
Yvorne;9.5
Apples;2.1
Aubonne;3.1
Ballens;0.0
Berolle;0.0
Bière;4.5
Bougy-Villars;6.3
Féchy;3.4
Gimel;3.5
Longirod;4.3
Marchissy;0.0
Mollens (VD);10.1
Montherod;5.7
Saint-George;4.0
Saint-Livres;2.9
Saint-Oyens;8.4
Saubraz;4.7
Avenches;3.8
Cudrefin;5.1
Faoug;5.6
Vully-les-Lacs;4.0
Bettens;3.5
Bournens;2.5
Boussens;7.1
La Chaux (Cossonay);2.4
Chavannes-le-Veyron;0.0
Chevilly;0.0
Cossonay;3.5
Cottens (VD);4.2
Cuarnens;0.0
Daillens;3.1
Dizy;0.0
Eclépens;3.8
Ferreyres;0.0
Gollion;3.3
Grancy;4.9
L'Isle;5.9
Lussery-Villars;10.9
Mauraz;0.0
Mex (VD);7.0
Moiry;6.5
Mont-la-Ville;14.7
Montricher;6.2
Orny;2.8
Pampigny;3.6
Penthalaz;4.6
Penthaz;3.5
Pompaples;3.5
La Sarraz;3.1
Senarclens;2.1
Sévery;0.0
Sullens;2.0
Vufflens-la-Ville;3.9
Assens;3.8
Bercher;1.7
Bioley-Orjulaz;8.3
Bottens;1.6
Bretigny-sur-Morrens;0.0
Cugy (VD);3.3
Echallens;3.9
Essertines-sur-Yverdon;3.1
Etagnières;5.4
Fey;5.7
Froideville;5.2
Morrens (VD);6.5
Oulens-sous-Echallens;3.5
Pailly;1.9
Penthéréaz;0.0
Poliez-Pittet;5.9
Rueyres;3.8
Saint-Barthélemy (VD);5.2
Villars-le-Terroir;4.5
Vuarrens;2.0
Montilliez;5.3
Goumoëns;3.7
Bonvillars;0.0
Bullet;3.1
Champagne;4.9
Concise;4.1
Corcelles-près-Concise;5.3
Fiez;2.3
Fontaines-sur-Grandson;9.8
Giez;7.2
Grandevent;0.0
Grandson;4.5
Mauborget;0.0
Mutrux;6.2
Novalles;9.9
Onnens (VD);8.2
Provence;5.1
Sainte-Croix;3.7
Tévenon;1.2
Belmont-sur-Lausanne;4.7
Cheseaux-sur-Lausanne;5.3
Crissier;4.0
Epalinges;4.0
Jouxtens-Mézery;6.2
Lausanne;5.1
Le Mont-sur-Lausanne;5.5
Paudex;4.7
Prilly;4.1
Pully;4.0
Renens (VD);5.4
Romanel-sur-Lausanne;4.2
Chexbres;4.0
Forel (Lavaux);7.7
Lutry;4.2
Puidoux;4.9
Rivaz;5.6
Saint-Saphorin (Lavaux);0.0
Savigny;3.0
Bourg-en-Lavaux;4.0
Aclens;5.6
Bremblens;3.8
Buchillon;3.2
Bussigny;3.8
Bussy-Chardonney;2.7
Chavannes-près-Renens;7.2
Chigny;5.9
Clarmont;11.0
Denens;2.6
Denges;6.2
Echandens;3.6
Echichens;1.9
Ecublens (VD);4.3
Etoy;4.1
Lavigny;5.0
Lonay;2.8
Lully (VD);2.5
Lussy-sur-Morges;1.5
Morges;4.9
Préverenges;4.0
Reverolle;10.6
Romanel-sur-Morges;2.1
Saint-Prex;4.7
Saint-Sulpice (VD);5.1
Tolochenaz;3.7
Vaux-sur-Morges;0.0
Villars-Sainte-Croix;2.2
Villars-sous-Yens;5.0
Vufflens-le-Château;5.8
Vullierens;6.3
Yens;5.1
Boulens;5.4
Bussy-sur-Moudon;4.8
Chavannes-sur-Moudon;13.5
Curtilles;3.2
Dompierre (VD);4.0
Hermenches;2.6
Lovatens;0.0
Lucens;3.2
Moudon;4.6
Ogens;6.7
Prévonloup;6.1
Rossenges;0.0
Syens;0.0
Villars-le-Comte;0.0
Vucherens;7.0
Montanaire;3.5
Arnex-sur-Nyon;0.0
Arzier-Le Muids;3.0
Bassins;3.0
Begnins;2.6
Bogis-Bossey;7.7
Borex;2.7
Chavannes-de-Bogis;3.1
Chavannes-des-Bois;6.3
Chéserex;1.6
Coinsins;6.2
Commugny;4.2
Coppet;3.5
Crans-près-Céligny;3.2
Crassier;6.8
Duillier;0.9
Eysins;3.8
Founex;3.5
Genolier;4.1
Gingins;3.3
Givrins;1.0
Gland;5.0
Grens;0.0
Mies;1.5
Nyon;4.9
Prangins;1.2
La Rippe;2.6
Saint-Cergue;4.4
Signy-Avenex;1.8
Tannay;3.2
Trélex;2.1
Le Vaud;4.7
Vich;6.0
L'Abergement;4.2
Agiez;3.3
Arnex-sur-Orbe;6.3
Ballaigues;3.6
Baulmes;4.7
Bavois;4.3
Bofflens;5.3
Bretonnières;0.0
Chavornay;4.3
Les Clées;0.0
Croy;2.7
Juriens;3.3
Lignerolle;9.7
Montcherand;4.2
Orbe;4.9
La Praz;0.0
Premier;4.9
Rances;0.0
Romainmôtier-Envy;1.8
Sergey;14.4
Valeyres-sous-Rances;1.6
Vallorbe;6.8
Vaulion;2.0
Vuiteboeuf;5.2
Corcelles-le-Jorat;2.3
Essertes;5.9
Maracon;8.7
Montpreveyres;4.7
Ropraz;8.9
Servion;4.2
Vulliens;2.0
Jorat-Menthue;7.2
Oron;3.3
Jorat-Mézières;3.2
Champtauroz;15.5
Chevroux;2.2
Corcelles-près-Payerne;3.7
Grandcour;1.1
Henniez;17.3
Missy;2.8
Payerne;4.7
Trey;11.3
Treytorrens (Payerne);15.8
Villarzel;0.0
Valbroye;2.0
Château-d'Oex;4.1
Rossinière;1.8
Rougemont;3.4
Allaman;6.9
Bursinel;0.0
Bursins;6.6
Burtigny;0.0
Dully;3.1
Essertines-sur-Rolle;4.3
Gilly;4.7
Luins;3.3
Mont-sur-Rolle;3.0
Perroy;0.7
Rolle;3.4
Tartegnin;8.5
Vinzel;2.8
L'Abbaye;6.8
Le Chenit;2.8
Le Lieu;2.3
Blonay;2.6
Chardonne;5.2
Corseaux;4.4
Corsier-sur-Vevey;4.4
Jongny;2.0
Montreux;4.3
Saint-Légier-La Chiésaz;2.7
La Tour-de-Peilz;3.2
Vevey;5.2
Veytaux;2.3
Belmont-sur-Yverdon;5.4
Bioley-Magnoux;0.0
Chamblon;11.1
Champvent;3.0
Chavannes-le-Chêne;10.0
Chêne-Pâquier;0.0
Cheseaux-Noréaz;1.5
Cronay;2.6
Cuarny;12.6
Démoret;7.4
Donneloye;3.8
Ependes (VD);2.8
Mathod;3.2
Molondin;8.9
Montagny-près-Yverdon;1.4
Oppens;0.0
Orges;0.0
Orzens;5.1
Pomy;3.9
Rovray;5.6
Suchy;6.6
Suscévaz;10.0
Treycovagnes;2.2
Ursins;4.7
Valeyres-sous-Montagny;5.7
Valeyres-sous-Ursins;4.1
Villars-Epeney;0.0
Vugelles-La Mothe;15.6
Yverdon-les-Bains;4.8
Yvonand;3.0
Brig-Glis;4.9
Eggerberg;2.9
Naters;4.9
Ried-Brig;5.3
Simplon;0.0
Termen;3.3
Zwischbergen;12.9
Ardon;3.9
Chamoson;4.5
Conthey;5.3
Nendaz;2.8
Vétroz;3.5
Bagnes;3.5
Bourg-Saint-Pierre;0.0
Liddes;9.2
Orsières;3.1
Sembrancher;5.9
Vollèges;2.5
Bellwald;5.1
Binn;0.0
Ernen;0.0
Fiesch;2.2
Fieschertal;3.1
Lax;0.0
Obergoms;1.5
Goms;5.0
Ayent;4.6
Evolène;4.1
Hérémence;6.5
Saint-Martin (VS);1.2
Vex;4.4
Mont-Noble;6.6
Agarn;0.0
Albinen;0.0
Ergisch;5.3
Inden;0.0
Leuk;2.0
Leukerbad;2.1
Oberems;0.0
Salgesch;3.4
Varen;6.4
Guttet-Feschel;9.5
Gampel-Bratsch;2.5
Turtmann-Unterems;4.5
Bovernier;2.2
Charrat;3.4
Fully;4.7
Isérables;3.6
Leytron;4.4
Martigny;4.3
Martigny-Combe;3.9
Riddes;3.6
Saillon;4.3
Saxon;4.9
Trient;5.6
Champéry;4.5
Collombey-Muraz;4.9
Monthey;4.6
Port-Valais;3.0
Saint-Gingolph;1.1
Troistorrents;6.3
Val-d'Illiez;5.3
Vionnaz;5.0
Vouvry;5.4
Bister;0.0
Bitsch;5.2
Grengiols;2.3
Riederalp;4.1
Ausserberg;4.8
Blatten;3.4
Bürchen;6.9
Eischoll;9.1
Ferden;0.0
Kippel;0.0
Niedergesteln;8.6
Raron;5.2
Unterbäch;4.8
Wiler (Lötschen);0.0
Mörel-Filet;4.4
Steg-Hohtenn;8.3
Bettmeralp;2.2
Collonges;3.9
Dorénaz;3.3
Evionnaz;4.8
Finhaut;2.5
Massongex;7.2
Saint-Maurice;3.5
Salvan;4.3
Vernayaz;5.3
Vérossaz;6.7
Chalais;4.6
Chippis;3.1
Grône;2.5
Icogne;7.1
Lens;3.2
Miège;0.7
Saint-Léonard;2.6
Sierre;4.3
Venthône;4.8
Veyras;2.2
Anniviers;3.3
Crans-Montana;3.4
Arbaz;1.6
Grimisuat;3.0
Savièse;3.7
Sion;3.9
Veysonnaz;3.3
Baltschieder;0.8
Eisten;5.0
Embd;6.7
Grächen;8.4
Lalden;6.0
Randa;0.0
Saas-Almagell;0.0
Saas-Balen;5.6
Saas-Fee;0.6
Saas-Grund;4.9
St. Niklaus;2.2
Stalden (VS);1.8
Staldenried;1.8
Täsch;4.7
Törbel;10.6
Visp;4.4
Visperterminen;5.2
Zeneggen;7.1
Zermatt;4.4
Boudry;2.8
Corcelles-Cormondrèche;2.5
Cortaillod;4.2
Peseux;4.3
Rochefort;4.0
Milvignes;3.8
La Grande Béroche;3.0
La Chaux-de-Fonds;3.9
Les Planchettes;4.9
La Sagne;4.2
Les Brenets;1.9
La Brévine;1.6
Brot-Plamboz;3.8
Le Cerneux-Péquignot;3.1
La Chaux-du-Milieu;4.0
Le Locle;4.6
Les Ponts-de-Martel;2.3
Cornaux;1.9
Cressier (NE);4.2
Enges;0.0
Hauterive (NE);1.9
Le Landeron;5.0
Lignières;3.1
Neuchâtel;5.2
Saint-Blaise;3.4
La Tène;2.0
Valangin;5.9
Val-de-Ruz;3.9
La Côte-aux-Fées;6.7
Les Verrières;1.4
Val-de-Travers;3.8
Aire-la-Ville;3.4
Anières;2.8
Avully;4.0
Avusy;1.4
Bardonnex;4.0
Bellevue;1.8
Bernex;3.7
Carouge (GE);5.2
Cartigny;2.2
Céligny;5.2
Chancy;1.2
Chêne-Bougeries;3.9
Chêne-Bourg;5.0
Choulex;5.3
Collex-Bossy;1.2
Collonge-Bellerive;3.3
Cologny;5.6
Confignon;1.3
Corsier (GE);2.9
Dardagny;8.2
Genève;4.9
Genthod;2.9
Le Grand-Saconnex;3.1
Gy;4.1
Hermance;2.9
Jussy;1.6
Laconnex;4.5
Lancy;4.9
Meinier;5.1
Meyrin;4.9
Onex;4.9
Perly-Certoux;4.6
Plan-les-Ouates;4.1
Pregny-Chambésy;2.8
Presinge;3.0
Puplinge;6.7
Russin;3.7
Satigny;2.7
Soral;5.0
Thônex;3.4
Troinex;3.8
Vandoeuvres;2.4
Vernier;4.7
Versoix;4.1
Veyrier;3.6
Boécourt;4.4
Bourrignon;15.2
Châtillon (JU);8.3
Courchapoix;2.3
Courrendlin;5.9
Courroux;5.8
Courtételle;5.8
Delémont;3.7
Develier;6.4
Ederswiler;8.6
Mervelier;2.0
Mettembert;0.0
Movelier;2.5
Pleigne;2.9
Rossemaison;7.7
Saulcy;7.8
Soyhières;6.6
Haute-Sorne;4.5
Val Terbi;3.5
Le Bémont (JU);6.4
Les Bois;1.6
Les Breuleux;2.6
La Chaux-des-Breuleux;0.0
Les Enfers;7.1
Les Genevez (JU);2.0
Lajoux (JU);3.0
Montfaucon;6.4
Muriaux;4.0
Le Noirmont;2.2
Saignelégier;2.7
Saint-Brais;4.4
Soubey;0.0
Alle;1.1
Beurnevésin;8.1
Boncourt;1.7
Bonfol;6.0
Bure;1.5
Coeuve;10.9
Cornol;3.9
Courchavon;0.0
Courgenay;2.6
Courtedoux;5.2
Damphreux;0.0
Fahy;5.5
Fontenais;4.2
Grandfontaine;5.1
Lugnez;5.4
Porrentruy;4.7
Vendlincourt;0.0
Basse-Allaine;2.5
Clos du Doubs;1.5
Haute-Ajoie;0.0
La Baroche;3.4
