Gemeindename;Rohe Heiratssziffer
Wiggiswil;0.0
Wiler bei Utzenstorf;5.4
Zielebach;0.0
Zuzwil (BE);0.0
Adelboden;4.5
Aeschi bei Spiez;7.5
Frutigen;4.2
Kandergrund;7.6
Kandersteg;4.6
Krattigen;8.0
Reichenbach im Kandertal;4.4
Beatenberg;5.8
Bönigen;2.8
Brienz (BE);3.5
Brienzwiler;4.1
Därligen;4.7
Grindelwald;2.9
Gsteigwiler;5.0
Gündlischwand;0.0
Habkern;4.6
Hofstetten bei Brienz;1.9
Interlaken;5.3
Iseltwald;4.6
Lauterbrunnen;3.4
Leissigen;2.8
Lütschental;0.0
Matten bei Interlaken;4.2
Niederried bei Interlaken;2.8
Oberried am Brienzersee;6.4
Ringgenberg (BE);4.1
Saxeten;0.0
Schwanden bei Brienz;3.4
Unterseen;4.5
Wilderswil;4.5
Arni (BE);7.6
Biglen;5.1
Bowil;4.4
Brenzikofen;2.0
Freimettigen;4.2
Grosshöchstetten;4.8
Häutligen;3.9
Herbligen;5.1
Kiesen;8.3
Konolfingen;5.3
Landiswil;3.2
Linden;5.5
Mirchel;3.2
Münsingen;3.9
Niederhünigen;3.3
Oberdiessbach;2.0
Oberthal;2.7
Oppligen;3.1
Rubigen;5.1
Walkringen;8.4
Worb;3.7
Zäziwil;4.3
Oberhünigen;3.2
Allmendingen;5.2
Wichtrach;7.0
Clavaleyres;0.0
Ferenbalm;1.6
Frauenkappelen;2.4
Gurbrü;0.0
Kriechenwil;2.4
Laupen;2.6
Mühleberg;4.8
Münchenwiler;11.9
Neuenegg;5.1
Wileroltigen;0.0
Belprahon;6.7
Champoz;0.0
Corcelles (BE);9.9
Court;3.5
Crémines;1.9
Eschert;7.7
Grandval;0.0
Loveresse;3.1
Moutier;3.7
Perrefitte;4.4
Reconvilier;3.0
Roches (BE);0.0
Saicourt;0.0
Saules (BE);0.0
Schelten;0.0
Seehof;0.0
Sorvilier;7.1
Tavannes;3.6
Rebévelier;0.0
Petit-Val;2.4
Valbirse;4.2
La Neuveville;3.0
Nods;2.7
Plateau de Diesse;3.4
Aegerten;5.4
Bellmund;1.8
Brügg;5.6
Bühl;9.0
Epsach;3.1
Hagneck;2.4
Hermrigen;12.8
Jens;3.0
Ipsach;4.0
Ligerz;3.6
Merzligen;5.0
Mörigen;6.9
Nidau;4.2
