Gemeindename;im 3. Sektor
Aeugst am Albis;118
Affoltern am Albis;811
Bonstetten;235
Hausen am Albis;196
Hedingen;158
Kappel am Albis;58
Knonau;86
Maschwanden;39
Mettmenstetten;217
Obfelden;224
Ottenbach;123
Rifferswil;53
Stallikon;142
Wettswil am Albis;238
Adlikon;35
Benken (ZH);42
Berg am Irchel;25
Buch am Irchel;41
Dachsen;73
Dorf;34
Feuerthalen;154
Flaach;94
Flurlingen;89
Andelfingen;147
Henggart;88
Humlikon;21
Kleinandelfingen;133
Laufen-Uhwiesen;52
Marthalen;119
Ossingen;61
Rheinau;52
Thalheim an der Thur;48
Trüllikon;47
Truttikon;16
Volken;14
Bachenbülach;213
Bassersdorf;514
Bülach;1065
Dietlikon;478
Eglisau;258
Embrach;385
Freienstein-Teufen;112
Glattfelden;185
Hochfelden;66
Höri;122
Hüntwangen;61
Kloten;1327
Lufingen;80
Nürensdorf;246
Oberembrach;49
Opfikon;1167
Rafz;168
Rorbas;125
Wallisellen;1206
Wasterkingen;22
Wil (ZH);77
Winkel;194
Bachs;31
Boppelsen;56
Buchs (ZH);224
Dällikon;191
Dänikon;72
Dielsdorf;360
Hüttikon;32
Neerach;194
Niederglatt;179
Niederhasli;335
Niederweningen;101
Oberglatt;239
Oberweningen;62
Otelfingen;199
Regensberg;32
Regensdorf;1033
Rümlang;555
Schleinikon;34
Schöfflisdorf;71
Stadel;89
Steinmaur;133
Weiach;61
Bäretswil;257
Bubikon;422
Dürnten;306
Fischenthal;108
Gossau (ZH);451
Grüningen;180
Hinwil;637
Rüti (ZH);693
Seegräben;87
Wald (ZH);444
Wetzikon (ZH);1506
Adliswil;932
Kilchberg (ZH);535
Langnau am Albis;291
Oberrieden;267
Richterswil;654
Rüschlikon;384
Thalwil;1169
Erlenbach (ZH);414
Herrliberg;389
Hombrechtikon;429
Küsnacht (ZH);1118
Männedorf;681
Meilen;991
Oetwil am See;199
Stäfa;891
Uetikon am See;307
Zumikon;326
Zollikon;1071
Fehraltorf;309
Hittnau;149
Lindau;262
Pfäffikon;654
Russikon;196
Weisslingen;169
Wila;111
Wildberg;30
Dübendorf;1535
Egg;448
Fällanden;430
Greifensee;189
Maur;523
Mönchaltorf;169
Schwerzenbach;247
Uster;2102
Volketswil;978
Wangen-Brüttisellen;466
Altikon;37
Brütten;88
Dägerlen;53
Dättlikon;41
Dinhard;70
Ellikon an der Thur;38
Elsau;170
Hagenbuch;46
Hettlingen;122
Neftenbach;252
Pfungen;170
Rickenbach (ZH);116
Schlatt (ZH);26
Seuzach;333
Turbenthal;235
Winterthur;6888
Zell (ZH);252
Aesch (ZH);57
Birmensdorf (ZH);309
Dietikon;1465
Geroldswil;243
Oberengstringen;263
Oetwil an der Limmat;109
Schlieren;1174
Uitikon;245
Unterengstringen;208
Urdorf;515
Weiningen (ZH);195
Zürich;41653
Stammheim;134
Wädenswil;1451
Elgg;218
Horgen;1184
Illnau-Effretikon;816
Bauma;254
Wiesendangen;272
Aarberg;275
Bargen (BE);44
Grossaffoltern;98
Kallnach;83
Kappelen;64
Lyss;725
Meikirch;96
Radelfingen;43
Rapperswil (BE);131
Schüpfen;177
Seedorf (BE);118
Aarwangen;187
Auswil;15
Bannwil;29
Bleienbach;33
Busswil bei Melchnau;8
Gondiswil;18
Langenthal;1038
Lotzwil;98
Madiswil;139
Melchnau;73
Obersteckholz;13
Oeschenbach;8
Reisiswil;10
Roggwil (BE);149
Rohrbach;60
Rohrbachgraben;15
Rütschelen;16
Schwarzhäusern;18
Thunstetten;113
Ursenbach;37
Wynau;65
Bern;13325
Bolligen;272
Bremgarten bei Bern;179
Kirchlindach;125
Köniz;1817
Muri bei Bern;924
Oberbalm;27
Stettlen;109
Vechigen;191
Wohlen bei Bern;360
Zollikofen;450
Ittigen;585
Ostermundigen;585
Biel/Bienne;3835
Evilard;111
Arch;67
Büetigen;25
Büren an der Aare;184
Diessbach bei Büren;36
Dotzigen;66
Lengnau (BE);178
Leuzigen;58
Meienried;X
Meinisberg;50
Oberwil bei Büren;38
Pieterlen;168
Rüti bei Büren;33
Wengi;29
Aefligen;49
Alchenstorf;17
Bäriswil;38
Burgdorf;1104
Ersigen;66
Hasle bei Burgdorf;133
Heimiswil;50
Hellsau;8
Hindelbank;131
Höchstetten;13
Kernenried;20
Kirchberg (BE);316
Koppigen;105
Krauchthal;64
Lyssach;113
Mötschwil;7
Oberburg;109
Rüdtligen-Alchenflüh;82
Rumendingen;X
Rüti bei Lyssach;X
Willadingen;8
Wynigen;79
Corgémont;61
Cormoret;22
Cortébert;31
Courtelary;61
La Ferrière;22
Mont-Tramelan;X
Orvin;51
Renan (BE);36
Romont (BE);5
Saint-Imier;253
Sonceboz-Sombeval;64
Sonvilier;50
Tramelan;210
Villeret;40
Sauge;21
Péry-La Heutte;64
