Gemeindename;im 3. Sektor
Brüttelen;30
Erlach;81
Finsterhennen;18
Gals;40
Gampelen;58
Ins;199
Lüscherz;25
Müntschemier;47
Siselen;31
Treiten;15
Tschugg;22
Vinelz;40
Bätterkinden;122
Deisswil bei Münchenbuchsee;5
Diemerswil;8
Fraubrunnen;180
Jegenstorf;250
Iffwil;19
Mattstetten;24
Moosseedorf;206
Münchenbuchsee;432
Urtenen-Schönbühl;273
Utzenstorf;167
Wiggiswil;X
Wiler bei Utzenstorf;29
Zielebach;8
Zuzwil (BE);14
Adelboden;212
Aeschi bei Spiez;122
Frutigen;318
Kandergrund;28
Kandersteg;102
Krattigen;50
Reichenbach im Kandertal;176
Beatenberg;78
Bönigen;81
Brienz (BE);203
Brienzwiler;35
Därligen;20
Grindelwald;302
Gsteigwiler;20
Gündlischwand;12
Habkern;28
Hofstetten bei Brienz;40
Interlaken;748
Iseltwald;21
Lauterbrunnen;277
Leissigen;54
Lütschental;13
Matten bei Interlaken;175
Niederried bei Interlaken;8
Oberried am Brienzersee;24
Ringgenberg (BE);124
Saxeten;8
Schwanden bei Brienz;21
Unterseen;348
Wilderswil;163
Arni (BE);20
Biglen;87
Bowil;45
Brenzikofen;20
Freimettigen;11
Grosshöchstetten;174
Häutligen;12
Herbligen;13
Kiesen;36
Konolfingen;235
Landiswil;19
Linden;53
Mirchel;20
Münsingen;628
Niederhünigen;18
Oberdiessbach;170
Oberthal;24
Oppligen;30
Rubigen;111
Walkringen;89
Worb;528
Zäziwil;66
Oberhünigen;12
Allmendingen;29
Wichtrach;174
Clavaleyres;X
Ferenbalm;38
Frauenkappelen;50
Gurbrü;15
Kriechenwil;19
Laupen;172
Mühleberg;126
Münchenwiler;17
Neuenegg;197
Wileroltigen;10
Belprahon;11
Champoz;X
Corcelles (BE);7
Court;57
Crémines;27
Eschert;8
Grandval;16
Loveresse;22
Moutier;378
Perrefitte;18
Reconvilier;91
Roches (BE);7
Saicourt;23
Saules (BE);X
Schelten;X
Seehof;X
Sorvilier;15
Tavannes;196
Rebévelier;X
Petit-Val;18
Valbirse;150
La Neuveville;211
Nods;28
Plateau de Diesse;84
Aegerten;59
Bellmund;52
Brügg;246
Bühl;16
Epsach;10
Hagneck;8
Hermrigen;15
Jens;25
Ipsach;140
Ligerz;30
Merzligen;15
Mörigen;36
Nidau;377
Orpund;83
Port;123
Safnern;73
Scheuren;17
Schwadernau;23
Studen (BE);123
Sutz-Lattrigen;67
Täuffelen;121
Walperswil;33
Worben;70
Twann-Tüscherz;55
Därstetten;35
Diemtigen;125
Erlenbach im Simmental;90
Oberwil im Simmental;34
Reutigen;33
Spiez;701
Wimmis;104
Stocken-Höfen;35
Guttannen;16
Hasliberg;86
Innertkirchen;53
Meiringen;296
Schattenhalb;21
Boltigen;67
Lenk;178
St. Stephan;54
Zweisimmen;197
Gsteig;55
Lauenen;44
Saanen;609
Guggisberg;47
Rüschegg;68
Schwarzenburg;306
Belp;562
Burgistein;46
Gerzensee;44
Gurzelen;19
Jaberg;9
Kaufdorf;32
Kehrsatz;162
Kirchdorf (BE);79
Kirchenthurnen;6
Lohnstorf;5
Mühlethurnen;51
Niedermuhlern;17
Riggisberg;118
Rüeggisberg;72
Rümligen;19
Seftigen;107
Toffen;97
Uttigen;71
Wattenwil;130
Wald (BE);54
Eggiwil;88
Langnau im Emmental;498
Lauperswil;97
Röthenbach im Emmental;44
Rüderswil;96
Schangnau;42
Signau;87
Trub;47
Trubschachen;57
Amsoldingen;29
Blumenstein;39
Buchholterberg;65
Eriz;23
Fahrni;25
Heiligenschwendi;29
Heimberg;286
Hilterfingen;200
Homberg;16
Horrenbach-Buchen;8
Oberhofen am Thunersee;154
Oberlangenegg;25
Pohlern;12
Schwendibach;11
Sigriswil;224
Steffisburg;643
Teuffenthal (BE);7
Thierachern;93
Thun;2788
Uebeschi;22
Uetendorf;309
Unterlangenegg;42
Wachseldorn;10
Zwieselberg;17
Forst-Längenbühl;20
Affoltern im Emmental;53
Dürrenroth;32
Eriswil;45
Huttwil;272
Lützelflüh;172
Rüegsau;123
Sumiswald;210
Trachselwald;31
Walterswil (BE);20
Wyssachen;35
Attiswil;54
Berken;X
Bettenhausen;14
Farnern;13
Graben;10
Heimenhausen;27
Herzogenbuchsee;369
Inkwil;17
Niederbipp;210
Niederönz;51
Oberbipp;65
Ochlenberg;12
Rumisberg;13
Seeberg;67
Thörigen;49
Walliswil bei Niederbipp;6
Walliswil bei Wangen;17
Wangen an der Aare;141
Wangenried;11
Wiedlisbach;140
Wolfisberg;7
Doppleschwand;31
Entlebuch;154
Flühli;109
Hasle (LU);56
Romoos;19
Schüpfheim;167
Werthenstein;104
Escholzmatt-Marbach;174
Aesch (LU);76
Altwis;18
Ballwil;125
Emmen;1212
Ermensee;47
Eschenbach (LU);157
Hitzkirch;251
Hochdorf;443
Hohenrain;123
Inwil;110
Rain;116
Römerswil;48
Rothenburg;373
Schongau;50
Adligenswil;273
Buchrain;201
Dierikon;72
Ebikon;600
Gisikon;50
Greppen;47
Honau;16
Horw;710
Kriens;1253
Luzern;7503
Malters;265
Meggen;510
Meierskappel;60
Root;309
Schwarzenberg;71
Udligenswil;97
Vitznau;96
Weggis;306
Beromünster;300
Büron;100
Buttisholz;139
Eich;109
Geuensee;101
Grosswangen;147
Hildisrieden;110
Knutwil;98
Mauensee;47
Neuenkirch;320
Nottwil;154
Oberkirch;210
Rickenbach (LU);142
Ruswil;284
Schenkon;173
Schlierbach;22
Sempach;234
Sursee;932
Triengen;172
Wolhusen;209
Alberswil;35
Altbüron;46
Altishofen;79
Dagmersellen;213
Ebersecken;9
Egolzwil;47
Ettiswil;105
Fischbach;17
Gettnau;42
Grossdietwil;32
Hergiswil bei Willisau;52
Luthern;39
Menznau;113
Nebikon;113
Pfaffnau;106
Reiden;312
Roggliswil;39
Schötz;164
Ufhusen;28
Wauwil;79
Wikon;73
Zell (LU);101
Willisau;458
Altdorf (UR);679
Andermatt;120
Attinghausen;42
Bauen;5
Bürglen (UR);134
Erstfeld;142
Flüelen;95
Göschenen;29
Gurtnellen;24
Hospental;15
Isenthal;15
Realp;17
Schattdorf;178
Seedorf (UR);67
Seelisberg;32
Silenen;67
Sisikon;18
Spiringen;34
Unterschächen;23
Wassen;32
Einsiedeln;869
Gersau;132
Feusisberg;674
Freienbach;2192
Wollerau;966
Küssnacht (SZ);827
Altendorf;562
Galgenen;245
Innerthal;10
Lachen;700
Reichenburg;177
Schübelbach;417
Tuggen;164
Vorderthal;33
Wangen (SZ);261
Alpthal;33
Arth;532
Illgau;24
Ingenbohl;516
Lauerz;41
Morschach;69
Muotathal;123
Oberiberg;74
Riemenstalden;7
Rothenthurm;116
Sattel;106
Schwyz;1045
Steinen;152
Steinerberg;30
Unteriberg;128
Alpnach;339
Engelberg;396
Giswil;165
Kerns;250
Lungern;86
Sachseln;249
Sarnen;987
Beckenried;176
Buochs;260
Dallenwil;95
Emmetten;82
Ennetbürgen;242
Ennetmoos;76
Hergiswil (NW);688
Oberdorf (NW);95
Stans;883
Stansstad;335
Wolfenschiessen;101
Glarus Nord;906
Glarus Süd;476
Glarus;937
Baar;3083
Cham;1568
Hünenberg;983
Menzingen;233
Neuheim;175
Oberägeri;377
Risch;929
Steinhausen;865
Unterägeri;524
Walchwil;252
Zug;6470
Châtillon (FR);10
Cheiry;12
Cugy (FR);52
Fétigny;29
Gletterens;42
Lully (FR);52
Ménières;13
Montagny (FR);88
Nuvilly;36
Prévondavaux;X
Saint-Aubin (FR);58
Sévaz;26
Surpierre;19
Vallon;13
Les Montets;54
Delley-Portalban;38
Belmont-Broye;204
Estavayer;456
Cheyres-Châbles;76
Auboranges;17
Billens-Hennens;18
Chapelle (Glâne);10
Le Châtelard;16
Châtonnaye;36
Ecublens (FR);15
Grangettes;9
Massonnens;11
Mézières (FR);30
Montet (Glâne);8
Romont (FR);334
Rue;57
Siviriez;71
Ursy;101
Villaz-Saint-Pierre;43
Vuisternens-devant-Romont;75
Villorsonnens;41
Torny;22
La Folliaz;35
Haut-Intyamon;63
Pont-en-Ogoz;71
Botterens;15
Broc;97
Bulle;1286
Châtel-sur-Montsalvens;8
Corbières;27
Crésuz;6
Echarlens;31
Grandvillard;31
Gruyères;108
Hauteville;23
Jaun;37
Marsens;68
Morlon;19
Le Pâquier (FR);37
Pont-la-Ville;20
Riaz;118
La Roche;66
Sâles;46
Sorens;39
Vaulruz;59
Vuadens;95
Bas-Intyamon;47
Val-de-Charmey;128
Arconciel;29
Autigny;26
Avry;176
Belfaux;103
Chénens;29
Corminboeuf;102
Corserey;19
Cottens (FR);39
Ependes (FR);43
Ferpicloz;16
Fribourg;3355
Givisiez;272
Granges-Paccot;228
Grolley;71
Marly;334
Matran;94
Neyruz (FR);69
Noréaz;15
Pierrafortscha;6
Ponthaux;18
Le Mouret;86
Prez-vers-Noréaz;36
Senèdes;X
Treyvaux;44
Villars-sur-Glâne;569
Villarsel-sur-Marly;X
Hauterive (FR);106
La Brillaz;52
La Sonnaz;45
Gibloux;278
Courgevaux;44
Courtepin;177
Cressier (FR);37
Fräschels;23
Galmiz;15
Gempenach;11
Greng;22
Gurmels;124
Kerzers;241
Kleinbösingen;22
Meyriez;36
Misery-Courtion;46
Muntelier;56
Murten;570
Ried bei Kerzers;34
Ulmiz;27
Mont-Vully;170
Alterswil;66
Brünisried;16
Düdingen;404
Giffers;69
Bösingen;148
Heitenried;52
Plaffeien;177
Plasselb;32
Rechthalten;37
St. Antoni;61
St. Silvester;30
St. Ursen;42
Schmitten (FR);147
Tafers;160
Tentlingen;36
Ueberstorf;83
Wünnewil-Flamatt;222
Attalens;129
Bossonnens;60
Châtel-Saint-Denis;437
Granges (Veveyse);27
Remaufens;32
Saint-Martin (FR);33
Semsales;59
Le Flon;37
La Verrerie;35
Egerkingen;246
Härkingen;146
Kestenholz;80
Neuendorf;97
Niederbuchsiten;40
Oberbuchsiten;96
Oensingen;338
Wolfwil;98
Aedermannsdorf;30
Balsthal;283
Gänsbrunnen;6
Herbetswil;11
Holderbank (SO);31
Laupersdorf;59
Matzendorf;67
Mümliswil-Ramiswil;83
Welschenrohr;42
Biezwil;12
Lüterkofen-Ichertswil;35
Lüterswil-Gächliwil;17
Messen;70
Schnottwil;41
Unterramsern;11
Lüsslingen-Nennigkofen;57
Buchegg;108
Bättwil;78
Büren (SO);46
Dornach;433
Gempen;31
Hochwald;72
Hofstetten-Flüh;118
Metzerlen-Mariastein;47
Nuglar-St. Pantaleon;57
Rodersdorf;49
Seewen;49
Witterswil;58
Hauenstein-Ifenthal;13
Kienberg;16
Lostorf;149
Niedergösgen;101
Obergösgen;79
Rohr (SO);6
Stüsslingen;42
Trimbach;225
Winznau;60
Wisen (SO);16
Erlinsbach (SO);125
Aeschi (SO);37
Biberist;349
Bolken;22
Deitingen;117
Derendingen;244
Etziken;23
Gerlafingen;203
Halten;34
Horriwil;24
Hüniken;X
Kriegstetten;64
Lohn-Ammannsegg;139
Luterbach;124
Obergerlafingen;83
Oekingen;27
Recherswil;74
Subingen;133
Zuchwil;332
Drei Höfe;21
Balm bei Günsberg;20
Bellach;196
Bettlach;169
Feldbrunnen-St. Niklaus;75
Flumenthal;37
Grenchen;784
Günsberg;48
Hubersdorf;23
Kammersrohr;X
Langendorf;147
Lommiswil;56
Oberdorf (SO);73
Riedholz;89
Rüttenen;69
Selzach;115
Boningen;19
Däniken;187
Dulliken;166
Eppenberg-Wöschnau;13
Fulenbach;84
Gretzenbach;110
Gunzgen;69
Hägendorf;246
Kappel (SO);104
Olten;1566
Rickenbach (SO);53
Schönenwerd;301
Starrkirch-Wil;50
Walterswil (SO);24
Wangen bei Olten;163
Solothurn;1984
Bärschwil;23
Beinwil (SO);15
Breitenbach;211
Büsserach;86
Erschwil;37
Fehren;23
Grindel;11
Himmelried;40
Kleinlützel;58
Meltingen;24
Nunningen;91
Zullwil;20
Basel;14757
Bettingen;46
Riehen;839
Aesch (BL);492
Allschwil;976
Arlesheim;589
Biel-Benken;179
Binningen;870
Birsfelden;450
Bottmingen;284
Ettingen;215
Münchenstein;800
Muttenz;1022
Oberwil (BL);612
Pfeffingen;95
Reinach (BL);1096
Schönenbuch;76
Therwil;474
Blauen;29
Brislach;59
Burg im Leimental;10
Dittingen;44
Duggingen;98
Grellingen;74
Laufen;419
Liesberg;34
Nenzlingen;15
Roggenburg;17
Röschenz;65
Wahlen;50
Zwingen;140
Arisdorf;70
Augst;65
Bubendorf;251
Frenkendorf;227
Füllinsdorf;212
Giebenach;45
Hersberg;13
Lausen;225
Liestal;1343
Lupsingen;75
Pratteln;925
Ramlinsburg;37
Seltisberg;42
Ziefen;80
Anwil;28
Böckten;45
Buckten;38
Buus;37
Diepflingen;21
Gelterkinden;370
Häfelfingen;10
Hemmiken;9
Itingen;96
Känerkinden;10
Kilchberg (BL);X
Läufelfingen;61
Maisprach;35
Nusshof;21
Oltingen;30
Ormalingen;88
Rickenbach (BL);29
Rothenfluh;39
Rümlingen;15
Rünenberg;32
Sissach;535
Tecknau;15
Tenniken;43
Thürnen;32
Wenslingen;27
Wintersingen;27
Wittinsburg;20
Zeglingen;16
Zunzgen;96
Arboldswil;23
Bennwil;24
Bretzwil;29
Diegten;65
Eptingen;28
Hölstein;99
Lampenberg;14
Langenbruck;53
Lauwil;16
Liedertswil;7
Niederdorf;68
Oberdorf (BL);104
Reigoldswil;88
Titterten;14
Waldenburg;52
Gächlingen;40
Löhningen;55
Neunkirch;105
Büttenhardt;14
Dörflingen;37
Lohn (SH);37
Stetten (SH);48
Thayngen;269
Bargen (SH);18
Beringen;180
Buchberg;43
Merishausen;42
Neuhausen am Rheinfall;584
Rüdlingen;38
Schaffhausen;2672
Beggingen;30
Schleitheim;86
Siblingen;35
Buch (SH);13
Hemishofen;25
Ramsen;101
Stein am Rhein;267
Hallau;112
Oberhallau;16
Trasadingen;38
Wilchingen;85
Herisau;1099
Hundwil;47
Schönengrund;22
Schwellbrunn;71
Stein (AR);81
Urnäsch;120
Waldstatt;94
Bühler;77
Gais;217
Speicher;259
Teufen (AR);560
Trogen;128
Grub (AR);45
Heiden;314
Lutzenberg;90
Rehetobel;86
Reute (AR);43
Wald (AR);45
Walzenhausen;129
Wolfhalden;100
Appenzell;578
Gonten;65
Rüte;170
Schlatt-Haslen;44
Schwende;160
Oberegg;91
Häggenschwil;45
Muolen;40
St. Gallen;6300
Wittenbach;337
Berg (SG);34
Eggersriet;89
Goldach;372
Mörschwil;191
Rorschach;666
Rorschacherberg;221
Steinach;137
Tübach;80
Untereggen;45
Au (SG);482
Balgach;236
Berneck;207
Diepoldsau;360
Rheineck;211
St. Margrethen;351
Thal;403
Widnau;524
Altstätten;682
Eichberg;57
Marbach (SG);102
Oberriet (SG);375
Rebstein;193
Rüthi (SG);98
Buchs (SG);811
Gams;123
Grabs;260
Sennwald;244
Sevelen;212
Wartau;222
Bad Ragaz;392
Flums;249
Mels;394
Pfäfers;85
Quarten;120
Sargans;381
Vilters-Wangs;179
Walenstadt;245
Amden;97
Benken (SG);136
Kaltbrunn;204
Schänis;172
Weesen;94
Schmerikon;176
Uznach;343
Rapperswil-Jona;1801
Gommiswald;224
Eschenbach (SG);380
Ebnat-Kappel;215
Wildhaus-Alt St. Johann;177
Nesslau;190
Hemberg;47
Lichtensteig;125
Oberhelfenschwil;53
Neckertal;198
Wattwil;454
Kirchberg (SG);366
Lütisburg;76
Mosnang;114
Bütschwil-Ganterschwil;216
Degersheim;162
Flawil;441
Jonschwil;148
Oberuzwil;283
Uzwil;489
Niederbüren;54
Niederhelfenschwil;123
Oberbüren;186
Zuzwil (SG);248
Wil (SG);1551
Andwil (SG);59
Gaiserwald;339
Gossau (SG);924
Waldkirch;150
Vaz/Obervaz;281
Lantsch/Lenz;39
Schmitten (GR);10
Albula/Alvra;100
Surses;187
Bergün Filisur;71
Brusio;74
Poschiavo;263
Falera;22
Laax;139
Sagogn;30
Schluein;54
Vals;65
Lumnezia;99
Ilanz/Glion;378
Fürstenau;23
Rothenbrunnen;16
Scharans;49
Sils im Domleschg;39
Cazis;92
Flerden;13
Masein;23
Thusis;302
Tschappina;8
Urmein;11
Safiental;57
Domleschg;110
Avers;16
Sufers;11
Andeer;61
Casti-Wergenstein;5
Donat;16
Lohn (GR);X
Mathon;6
Rongellen;X
Zillis-Reischen;24
Ferrera;7
Rheinwald;50
Bonaduz;142
Domat/Ems;283
Rhäzüns;51
Felsberg;81
Flims;258
Tamins;51
Trin;65
Zernez;112
Samnaun;122
Scuol;456
Valsot;58
Bever;58
Celerina/Schlarigna;128
Madulain;21
Pontresina;215
La Punt-Chamues-ch;65
Samedan;323
St. Moritz;765
S-chanf;56
Sils im Engadin/Segl;85
Silvaplana;127
Zuoz;115
Bregaglia;152
Buseno;X
Castaneda;22
Rossa;14
Santa Maria in Calanca;12
Lostallo;43
Mesocco;120
Soazza;22
Cama;41
Grono;202
Roveredo (GR);270
San Vittore;65
Calanca;13
Val Müstair;155
Davos;935
Fideris;25
Furna;8
Jenaz;47
Klosters-Serneus;338
Conters im Prättigau;12
Küblis;73
Luzein;72
Chur;3352
Churwalden;130
Arosa;374
Maladers;17
Tschiertschen-Praden;22
Haldenstein;38
Trimmis;148
Untervaz;93
Zizers;162
Fläsch;33
Jenins;47
Maienfeld;234
Malans;161
Landquart;499
Grüsch;115
Schiers;145
Seewis im Prättigau;52
Breil/Brigels;111
Disentis/Mustér;126
Medel (Lucmagn);21
Sumvitg;51
Tujetsch;109
Trun;71
Obersaxen Mundaun;91
Aarau;2502
Biberstein;76
Buchs (AG);327
Densbüren;32
Erlinsbach (AG);130
Gränichen;293
Hirschthal;63
Küttigen;257
Muhen;188
Oberentfelden;351
Suhr;382
Unterentfelden;183
Baden;2212
Bellikon;64
Bergdietikon;128
Birmenstorf (AG);127
Ennetbaden;200
Fislisbach;217
Freienwil;43
Gebenstorf;218
Killwangen;99
Künten;80
Mägenwil;166
Mellingen;274
Neuenhof;321
Niederrohrdorf;191
Oberrohrdorf;171
Obersiggenthal;308
Remetschwil;82
Spreitenbach;632
Stetten (AG);80
Turgi;132
Untersiggenthal;223
Wettingen;1091
Wohlenschwil;77
Würenlingen;220
Würenlos;312
Ehrendingen;162
Arni (AG);94
Berikon;303
Bremgarten (AG);533
Büttikon;50
Dottikon;163
Eggenwil;50
Fischbach-Göslikon;57
Hägglingen;96
Jonen;74
Niederwil (AG);135
Oberlunkhofen;94
Oberwil-Lieli;128
Rudolfstetten-Friedlisberg;172
Sarmenstorf;112
Tägerig;57
Uezwil;17
Unterlunkhofen;54
Villmergen;327
Widen;155
Wohlen (AG);891
Zufikon;170
Islisberg;24
Auenstein;76
Birr;125
Birrhard;31
Bözen;36
Brugg;874
Effingen;33
Elfingen;15
Habsburg;21
Hausen (AG);128
Lupfig;171
Mandach;13
Mönthal;14
Mülligen;45
Remigen;40
Riniken;60
Rüfenach;38
Schinznach-Bad;67
Thalheim (AG);34
Veltheim (AG);62
Villigen;74
Villnachern;58
Windisch;330
Bözberg;72
Schinznach;121
Beinwil am See;198
Birrwil;72
Burg (AG);35
Dürrenäsch;61
Gontenschwil;99
Holziken;50
Leimbach (AG);19
Leutwil;38
Menziken;239
Oberkulm;80
Reinach (AG);450
Schlossrued;38
Schmiedrued;43
Schöftland;256
Teufenthal (AG);65
Unterkulm;149
Zetzwil;46
Eiken;90
Frick;391
Gansingen;44
Gipf-Oberfrick;159
Herznach;56
Hornussen;37
Kaisten;94
Laufenburg;206
Münchwilen (AG);42
Oberhof;20
Oeschgen;43
Schwaderloch;32
Sisseln;67
Ueken;33
Wittnau;55
Wölflinswil;44
Zeihen;53
Mettauertal;94
Ammerswil;27
Boniswil;64
Brunegg;41
Dintikon;103
Egliswil;71
Fahrwangen;115
Hallwil;57
Hendschiken;59
Holderbank (AG);71
Hunzenschwil;205
Lenzburg;847
Meisterschwanden;160
Möriken-Wildegg;230
Niederlenz;178
Othmarsingen;159
Rupperswil;243
Schafisheim;158
Seengen;190
Seon;265
Staufen;112
Abtwil;36
Aristau;49
Auw;76
Beinwil (Freiamt);59
Besenbüren;23
Bettwil;27
Boswil;138
Bünzen;48
Buttwil;57
Dietwil;49
Geltwil;11
Kallern;23
Merenschwand;150
Mühlau;53
Muri (AG);479
Oberrüti;45
Rottenschwil;42
Sins;242
Waltenschwil;112
Hellikon;32
Kaiseraugst;212
Magden;158
Möhlin;474
Mumpf;53
Obermumpf;37
Olsberg;23
Rheinfelden;806
Schupfart;36
Stein (AG);150
Wallbach;97
Wegenstetten;42
Zeiningen;120
Zuzgen;46
Aarburg;322
Bottenwil;28
Brittnau;125
Kirchleerau;36
Kölliken;216
Moosleerau;39
Murgenthal;143
Oftringen;546
Reitnau;73
Rothrist;420
Safenwil;174
Staffelbach;58
Strengelbach;141
Uerkheim;53
Vordemwald;64
Wiliberg;9
Zofingen;937
Baldingen;14
Böbikon;7
Böttstein;140
Döttingen;168
Endingen;106
Fisibach;20
Full-Reuenthal;30
Kaiserstuhl;26
Klingnau;126
Koblenz;65
Leibstadt;50
Lengnau (AG);113
Leuggern;125
Mellikon;15
Rekingen (AG);43
Rietheim;16
Rümikon;10
Schneisingen;59
Siglistorf;34
Tegerfelden;51
Wislikofen;14
Bad Zurzach;304
Arbon;720
Dozwil;26
Egnach;223
Hefenhofen;52
Horn;155
Kesswil;54
Roggwil (TG);141
Romanshorn;512
Salmsach;46
Sommeri;32
Uttwil;93
Amriswil;684
Bischofszell;271
Erlen;125
Hauptwil-Gottshaus;81
Hohentannen;24
Kradolf-Schönenberg;147
Sulgen;167
Zihlschlacht-Sitterdorf;100
Basadingen-Schlattingen;81
Diessenhofen;184
Schlatt (TG);80
Aadorf;389
Felben-Wellhausen;107
Frauenfeld;1743
Gachnang;205
Hüttlingen;29
Matzingen;130
Neunforn;27
Stettfurt;46
Thundorf;48
Uesslingen-Buch;60
Warth-Weiningen;53
Altnau;119
Bottighofen;178
Ermatingen;238
Gottlieben;23
Güttingen;88
Kemmental;106
Kreuzlingen;1407
Langrickenbach;54
Lengwil;66
Münsterlingen;171
Tägerwilen;347
Wäldi;56
Affeltrangen;118
Bettwiesen;47
Bichelsee-Balterswil;133
Braunau;33
Eschlikon;217
Fischingen;121
Lommis;63
Münchwilen (TG);236
Rickenbach (TG);125
Schönholzerswilen;39
Sirnach;369
Tobel-Tägerschen;67
Wängi;216
Wilen (TG);100
Wuppenau;66
Berlingen;55
Eschenz;95
Herdern;45
Homburg;67
Hüttwilen;86
Mammern;33
Müllheim;152
Pfyn;98
Raperswilen;17
Salenstein;106
Steckborn;236
Wagenhausen;71
Amlikon-Bissegg;62
Berg (TG);157
Birwinken;47
Bürglen (TG);180
Bussnang;68
Märstetten;133
Weinfelden;838
Wigoltingen;93
Arbedo-Castione;300
Bellinzona;2940
Cadenazzo;240
Isone;23
Lumino;67
Sant'Antonino;201
Acquarossa;111
Blenio;108
Serravalle;96
