Gemeindename;Beschäftigte total
Kiesen;388
Konolfingen;3079
Landiswil;284
Linden;546
Mirchel;138
Münsingen;6583
Niederhünigen;124
Oberdiessbach;1752
Oberthal;361
Oppligen;208
Rubigen;1211
Walkringen;927
Worb;4071
Zäziwil;461
Oberhünigen;77
Allmendingen;213
Wichtrach;1217
Clavaleyres;24
Ferenbalm;363
Frauenkappelen;513
Gurbrü;115
Kriechenwil;98
Laupen;1309
Mühleberg;1317
Münchenwiler;203
Neuenegg;1810
Wileroltigen;86
Belprahon;90
Champoz;39
Corcelles (BE);62
Court;693
Crémines;228
Eschert;131
Grandval;73
Loveresse;209
Moutier;3765
Perrefitte;83
Reconvilier;884
Roches (BE);48
Saicourt;361
Saules (BE);26
Schelten;27
Seehof;34
Sorvilier;67
Tavannes;1530
Rebévelier;24
Petit-Val;181
Valbirse;1710
La Neuveville;1524
Nods;146
Plateau de Diesse;376
Aegerten;345
Bellmund;285
Brügg;2983
Bühl;75
Epsach;92
Hagneck;68
Hermrigen;73
Jens;120
Ipsach;772
Ligerz;183
Merzligen;50
Mörigen;153
Nidau;3005
Orpund;657
Port;953
Safnern;551
Scheuren;137
Schwadernau;175
Studen (BE);1700
Sutz-Lattrigen;598
Täuffelen;1115
Walperswil;318
Worben;815
Twann-Tüscherz;387
Därstetten;318
Diemtigen;1275
Erlenbach im Simmental;707
Oberwil im Simmental;335
Reutigen;244
Spiez;5736
Wimmis;1227
Stocken-Höfen;196
Guttannen;183
Hasliberg;885
Innertkirchen;609
Meiringen;2675
Schattenhalb;588
Boltigen;490
Lenk;1787
St. Stephan;710
Zweisimmen;1775
Gsteig;398
Lauenen;371
Saanen;6750
Guggisberg;549
Rüschegg;439
Schwarzenburg;3225
Belp;5241
Burgistein;382
Gerzensee;297
Gurzelen;153
Jaberg;93
Kaufdorf;153
Kehrsatz;1003
Kirchdorf (BE);597
Kirchenthurnen;66
Lohnstorf;59
Mühlethurnen;303
Niedermuhlern;148
Riggisberg;1716
Rüeggisberg;628
Rümligen;131
Seftigen;645
Toffen;478
Uttigen;279
Wattenwil;1063
Wald (BE);617
Eggiwil;1273
