Gemeindename;im 2. Sektor
Clavaleyres;X
Ferenbalm;24
Frauenkappelen;27
Gurbrü;X
Kriechenwil;X
Laupen;27
Mühleberg;43
Münchenwiler;11
Neuenegg;53
Wileroltigen;X
Belprahon;5
Champoz;X
Corcelles (BE);7
Court;43
Crémines;8
Eschert;10
Grandval;X
Loveresse;X
Moutier;100
Perrefitte;13
Reconvilier;30
Roches (BE);5
Saicourt;X
Saules (BE);X
Schelten;X
Seehof;X
Sorvilier;X
Tavannes;48
Rebévelier;X
Petit-Val;5
Valbirse;49
La Neuveville;44
Nods;12
Plateau de Diesse;29
Aegerten;22
Bellmund;11
Brügg;84
Bühl;6
Epsach;X
Hagneck;6
Hermrigen;5
Jens;X
Ipsach;23
Ligerz;6
Merzligen;5
Mörigen;5
Nidau;69
Orpund;36
Port;36
Safnern;34
Scheuren;5
Schwadernau;7
Studen (BE);38
Sutz-Lattrigen;16
Täuffelen;32
Walperswil;9
Worben;22
Twann-Tüscherz;17
Därstetten;20
Diemtigen;66
Erlenbach im Simmental;31
Oberwil im Simmental;15
Reutigen;14
Spiez;119
Wimmis;44
Stocken-Höfen;16
Guttannen;X
Hasliberg;13
Innertkirchen;17
Meiringen;56
Schattenhalb;9
Boltigen;25
Lenk;51
St. Stephan;32
Zweisimmen;53
Gsteig;27
Lauenen;19
Saanen;116
Guggisberg;21
Rüschegg;21
Schwarzenburg;99
Belp;121
Burgistein;15
Gerzensee;16
Gurzelen;15
Jaberg;6
Kaufdorf;15
Kehrsatz;42
Kirchdorf (BE);25
Kirchenthurnen;X
Lohnstorf;X
Mühlethurnen;14
Niedermuhlern;6
Riggisberg;50
Rüeggisberg;32
Rümligen;8
Seftigen;30
Toffen;26
Uttigen;24
Wattenwil;46
Wald (BE);8
Eggiwil;36
Langnau im Emmental;131
Lauperswil;47
Röthenbach im Emmental;16
Rüderswil;48
Schangnau;23
Signau;48
Trub;25
Trubschachen;24
Amsoldingen;12
Blumenstein;25
Buchholterberg;20
Eriz;8
Fahrni;11
Heiligenschwendi;X
Heimberg;76
Hilterfingen;29
Homberg;11
Horrenbach-Buchen;6
Oberhofen am Thunersee;21
Oberlangenegg;8
Pohlern;X
Schwendibach;X
Sigriswil;63
Steffisburg;131
Teuffenthal (BE);6
Thierachern;13
Thun;403
Uebeschi;12
Uetendorf;111
Unterlangenegg;18
Wachseldorn;X
Zwieselberg;X
Forst-Längenbühl;11
Affoltern im Emmental;30
Dürrenroth;17
Eriswil;32
Huttwil;85
Lützelflüh;64
Rüegsau;33
Sumiswald;93
Trachselwald;15
Walterswil (BE);8
Wyssachen;22
Attiswil;19
Berken;X
Bettenhausen;8
Farnern;X
Graben;X
Heimenhausen;13
Herzogenbuchsee;96
Inkwil;7
Niederbipp;60
Niederönz;20
Oberbipp;28
Ochlenberg;6
Rumisberg;X
Seeberg;26
Thörigen;17
Walliswil bei Niederbipp;X
Walliswil bei Wangen;7
Wangen an der Aare;41
Wangenried;6
Wiedlisbach;34
Wolfisberg;X
Doppleschwand;10
Entlebuch;59
Flühli;36
Hasle (LU);24
Romoos;13
Schüpfheim;70
Werthenstein;39
Escholzmatt-Marbach;59
Aesch (LU);27
Altwis;9
Ballwil;48
Emmen;267
Ermensee;23
Eschenbach (LU);49
Hitzkirch;81
Hochdorf;112
Hohenrain;33
Inwil;45
Rain;35
Römerswil;20
Rothenburg;90
Schongau;22
Adligenswil;39
Buchrain;69
Dierikon;15
Ebikon;109
Gisikon;18
Greppen;11
Honau;5
Horw;111
Kriens;223
Luzern;639
Malters;108
Meggen;42
Meierskappel;17
Root;91
Schwarzenberg;20
Udligenswil;27
Vitznau;10
Weggis;62
Beromünster;100
Büron;43
Buttisholz;53
Eich;17
Geuensee;35
Grosswangen;53
Hildisrieden;20
Knutwil;30
Mauensee;8
Neuenkirch;96
Nottwil;34
Oberkirch;31
Rickenbach (LU);58
Ruswil;91
Schenkon;32
Schlierbach;12
Sempach;52
Sursee;147
Triengen;59
Wolhusen;52
Alberswil;9
Altbüron;25
Altishofen;23
Dagmersellen;90
Ebersecken;9
Egolzwil;21
Ettiswil;41
Fischbach;7
Gettnau;22
Grossdietwil;14
Hergiswil bei Willisau;26
Luthern;23
Menznau;37
Nebikon;28
Pfaffnau;33
Reiden;96
Roggliswil;13
Schötz;66
Ufhusen;20
Wauwil;27
Wikon;14
Zell (LU);41
Willisau;97
Altdorf (UR);97
Andermatt;17
Attinghausen;17
Bauen;X
Bürglen (UR);53
Erstfeld;34
Flüelen;24
Göschenen;7
Gurtnellen;8
Hospental;X
Isenthal;12
Realp;X
Schattdorf;55
Seedorf (UR);28
Seelisberg;15
Silenen;18
Sisikon;5
Spiringen;7
Unterschächen;9
Wassen;X
Einsiedeln;247
Gersau;30
Feusisberg;128
Freienbach;287
Wollerau;131
Küssnacht (SZ);188
Altendorf;139
Galgenen;69
Innerthal;X
Lachen;108
Reichenburg;65
Schübelbach;137
Tuggen;46
Vorderthal;20
Wangen (SZ);100
Alpthal;10
Arth;137
Illgau;10
Ingenbohl;83
Lauerz;5
Morschach;19
Muotathal;66
Oberiberg;17
Riemenstalden;X
Rothenthurm;40
Sattel;25
Schwyz;197
Steinen;54
