Gemeindename;im 2. Sektor
Bedretto;X
Bodio;19
Dalpe;5
Faido;50
Giornico;15
Personico;8
Pollegio;9
Prato (Leventina);10
Quinto;20
Ascona;68
Brione (Verzasca);6
Brione sopra Minusio;6
Brissago;29
Corippo;X
Frasco;X
Gordola;73
Lavertezzo;36
Locarno;233
Losone;130
Mergoscia;X
Minusio;80
Muralto;27
Orselina;9
Ronco sopra Ascona;12
Sonogno;X
Tenero-Contra;45
Vogorno;5
Onsernone;15
Cugnasco-Gerra;40
Agno;71
Aranno;X
Arogno;17
Astano;6
Bedano;56
Bedigliora;18
Bioggio;82
Bissone;7
Brusino Arsizio;X
Cademario;X
Cadempino;45
Canobbio;25
Caslano;50
Comano;9
Croglio;28
Cureglia;13
Curio;8
Grancia;13
Gravesano;26
Lamone;53
Lugano;989
Magliaso;12
Manno;53
Maroggia;11
Massagno;43
Melano;27
Melide;26
Mezzovico-Vira;68
Miglieglia;11
Monteggio;18
Morcote;8
Muzzano;24
Neggio;X
Novaggio;9
Origlio;10
Paradiso;63
Ponte Capriasca;17
Ponte Tresa;14
Porza;20
Pura;9
Rovio;13
Savosa;26
Sessa;8
Sorengo;13
Capriasca;82
Torricella-Taverne;86
Vernate;6
Vezia;18
Vico Morcote;X
Collina d'Oro;38
Alto Malcantone;15
Monteceneri;102
Balerna;93
Castel San Pietro;38
Chiasso;209
Coldrerio;25
Mendrisio;303
Morbio Inferiore;51
Novazzano;46
Riva San Vitale;64
Stabio;115
Vacallo;25
Breggia;14
Biasca;92
Riviera;71
Bosco/Gurin;X
Campo (Vallemaggia);8
Cerentino;X
Cevio;38
Linescio;X
Maggia;52
Lavizzara;20
Avegno Gordevio;28
Terre di Pedemonte;49
Centovalli;23
Gambarogno;123
Aigle;151
Bex;110
Chessel;X
Corbeyrier;X
Gryon;20
Lavey-Morcles;12
Leysin;24
Noville;15
Ollon;63
Ormont-Dessous;18
Ormont-Dessus;42
Rennaz;11
Roche (VD);28
Villeneuve (VD);78
Yvorne;17
Apples;13
Aubonne;44
Ballens;8
Berolle;6
Bière;27
Bougy-Villars;X
Féchy;X
Gimel;29
Longirod;X
Marchissy;5
Mollens (VD);5
Montherod;6
Saint-George;10
Saint-Livres;X
Saint-Oyens;X
Saubraz;8
Avenches;53
Cudrefin;15
Faoug;12
Vully-les-Lacs;25
Bettens;X
Bournens;5
Boussens;6
La Chaux (Cossonay);8
Chavannes-le-Veyron;X
Chevilly;X
Cossonay;35
Cottens (VD);X
Cuarnens;12
Daillens;12
Dizy;5
Eclépens;23
Ferreyres;5
Gollion;13
Grancy;7
L'Isle;23
Lussery-Villars;6
Mauraz;X
Mex (VD);8
Moiry;X
Mont-la-Ville;X
Montricher;22
Orny;5
Pampigny;16
Penthalaz;33
Penthaz;32
Pompaples;11
La Sarraz;26
Senarclens;X
Sévery;X
Sullens;11
Vufflens-la-Ville;17
Assens;14
Bercher;12
Bioley-Orjulaz;10
Bottens;16
Bretigny-sur-Morrens;7
Cugy (VD);40
Echallens;63
Essertines-sur-Yverdon;11
Etagnières;13
Fey;9
Froideville;22
Morrens (VD);5
Oulens-sous-Echallens;6
Pailly;5
Penthéréaz;9
Poliez-Pittet;19
Rueyres;5
Saint-Barthélemy (VD);8
Villars-le-Terroir;6
Vuarrens;12
Montilliez;18
Goumoëns;6
Bonvillars;6
Bullet;10
Champagne;12
Concise;10
Corcelles-près-Concise;5
Fiez;X
Fontaines-sur-Grandson;5
Giez;8
Grandevent;X
Grandson;39
Mauborget;X
Mutrux;X
Novalles;X
Onnens (VD);5
Provence;6
Sainte-Croix;82
Tévenon;7
Belmont-sur-Lausanne;19
Cheseaux-sur-Lausanne;36
Crissier;171
Epalinges;34
Jouxtens-Mézery;11
Lausanne;899
Le Mont-sur-Lausanne;138
Paudex;7
Prilly;88
Pully;74
Renens (VD);189
Romanel-sur-Lausanne;42
Chexbres;21
Forel (Lavaux);37
Lutry;70
Puidoux;58
Rivaz;X
Saint-Saphorin (Lavaux);X
Savigny;46
Bourg-en-Lavaux;64
Aclens;32
Bremblens;12
Buchillon;X
Bussigny;119
Bussy-Chardonney;X
Chavannes-près-Renens;57
Chigny;X
Clarmont;X
Denens;6
Denges;20
Echandens;45
Echichens;11
Ecublens (VD);172
Etoy;40
Lavigny;13
Lonay;59
Lully (VD);7
Lussy-sur-Morges;X
Morges;116
Préverenges;67
Reverolle;X
Romanel-sur-Morges;32
Saint-Prex;42
Saint-Sulpice (VD);26
Tolochenaz;21
Vaux-sur-Morges;X
Villars-Sainte-Croix;49
Villars-sous-Yens;X
Vufflens-le-Château;5
Vullierens;7
Yens;13
Boulens;5
Bussy-sur-Moudon;X
Chavannes-sur-Moudon;X
Curtilles;6
Dompierre (VD);X
Hermenches;X
Lovatens;X
Lucens;44
Moudon;81
Ogens;7
Prévonloup;X
Rossenges;X
Syens;X
Villars-le-Comte;X
Vucherens;5
Montanaire;42
Arnex-sur-Nyon;X
Arzier-Le Muids;19
Bassins;13
Begnins;18
Bogis-Bossey;X
Borex;6
Chavannes-de-Bogis;19
Chavannes-des-Bois;X
Chéserex;X
Coinsins;16
Commugny;11
Coppet;19
Crans-près-Céligny;8
Crassier;11
Duillier;17
Eysins;13
Founex;14
Genolier;12
Gingins;16
Givrins;10
Gland;150
Grens;9
Mies;13
Nyon;192
Prangins;11
La Rippe;7
Saint-Cergue;25
Signy-Avenex;X
Tannay;10
Trélex;8
Le Vaud;18
Vich;15
L'Abergement;X
Agiez;X
Arnex-sur-Orbe;12
Ballaigues;20
Baulmes;19
Bavois;12
Bofflens;6
Bretonnières;X
Chavornay;42
Les Clées;5
Croy;7
Juriens;X
Lignerolle;6
Montcherand;6
Orbe;79
La Praz;X
Premier;6
Rances;6
Romainmôtier-Envy;11
Sergey;X
Valeyres-sous-Rances;10
Vallorbe;45
Vaulion;13
Vuiteboeuf;11
Corcelles-le-Jorat;X
Essertes;5
Maracon;X
Montpreveyres;7
Ropraz;7
Servion;21
Vulliens;6
Jorat-Menthue;21
Oron;70
Jorat-Mézières;30
Champtauroz;X
Chevroux;7
Corcelles-près-Payerne;33
Grandcour;16
Henniez;X
Missy;X
Payerne;128
Trey;X
Treytorrens (Payerne);X
Villarzel;6
Valbroye;41
Château-d'Oex;72
Rossinière;19
Rougemont;19
Allaman;7
Bursinel;X
Bursins;10
Burtigny;6
Dully;X
Essertines-sur-Rolle;10
Gilly;10
Luins;7
Mont-sur-Rolle;12
Perroy;19
Rolle;60
Tartegnin;X
Vinzel;5
L'Abbaye;41
Le Chenit;104
Le Lieu;28
Blonay;30
Chardonne;18
Corseaux;11
Corsier-sur-Vevey;36
Jongny;5
Montreux;238
Saint-Légier-La Chiésaz;38
La Tour-de-Peilz;56
Vevey;155
Veytaux;7
Belmont-sur-Yverdon;10
Bioley-Magnoux;6
Chamblon;10
Champvent;14
Chavannes-le-Chêne;7
Chêne-Pâquier;X
Cheseaux-Noréaz;X
Cronay;X
Cuarny;6
Démoret;X
Donneloye;14
Ependes (VD);6
Mathod;5
Molondin;8
Montagny-près-Yverdon;30
Oppens;X
Orges;8
Orzens;8
Pomy;15
Rovray;X
Suchy;10
Suscévaz;X
Treycovagnes;X
Ursins;X
Valeyres-sous-Montagny;9
Valeyres-sous-Ursins;X
Villars-Epeney;X
Vugelles-La Mothe;X
Yverdon-les-Bains;304
Yvonand;41
Brig-Glis;165
Eggerberg;X
Naters;93
Ried-Brig;17
Simplon;8
Termen;8
Zwischbergen;X
Ardon;39
Chamoson;58
Conthey;124
Nendaz;79
Vétroz;53
Bagnes;151
Bourg-Saint-Pierre;X
Liddes;11
Orsières;62
Sembrancher;29
Vollèges;32
Bellwald;6
Binn;X
Ernen;10
Fiesch;23
Fieschertal;X
Lax;5
Obergoms;15
Goms;20
Ayent;45
Evolène;25
Hérémence;20
Saint-Martin (VS);14
Vex;12
Mont-Noble;11
Agarn;13
Albinen;X
Ergisch;X
Inden;X
Leuk;54
Leukerbad;20
Oberems;X
Salgesch;32
Varen;6
Guttet-Feschel;5
Gampel-Bratsch;31
Turtmann-Unterems;21
Bovernier;7
Charrat;28
Fully;72
Isérables;11
Leytron;40
Martigny;235
Martigny-Combe;31
Riddes;34
Saillon;24
Saxon;84
Trient;5
Champéry;26
Collombey-Muraz;141
Monthey;171
Port-Valais;43
Saint-Gingolph;12
Troistorrents;65
Val-d'Illiez;42
Vionnaz;38
Vouvry;68
Bister;X
Bitsch;8
Grengiols;9
Riederalp;X
Ausserberg;8
Blatten;X
Bürchen;8
Eischoll;5
Ferden;X
Kippel;X
Niedergesteln;6
Raron;28
Unterbäch;7
Wiler (Lötschen);8
Mörel-Filet;13
Steg-Hohtenn;26
Bettmeralp;8
Collonges;10
Dorénaz;14
Evionnaz;22
Finhaut;5
Massongex;23
Saint-Maurice;55
Salvan;24
Vernayaz;33
Vérossaz;5
Chalais;58
Chippis;17
Grône;23
Icogne;12
Lens;39
Miège;12
Saint-Léonard;19
Sierre;202
Venthône;9
Veyras;15
Anniviers;54
Crans-Montana;103
Arbaz;18
Grimisuat;29
Savièse;85
Sion;473
Veysonnaz;7
Baltschieder;10
Eisten;X
Embd;X
Grächen;16
Lalden;14
Randa;8
Saas-Almagell;X
Saas-Balen;7
Saas-Fee;27
Saas-Grund;14
St. Niklaus;26
Stalden (VS);20
Staldenried;7
Täsch;7
Törbel;5
Visp;113
Visperterminen;12
Zeneggen;X
Zermatt;69
Boudry;67
Corcelles-Cormondrèche;58
Cortaillod;57
Peseux;59
Rochefort;12
Milvignes;72
La Grande Béroche;139
La Chaux-de-Fonds;615
Les Planchettes;X
La Sagne;20
Les Brenets;27
La Brévine;20
Brot-Plamboz;X
Le Cerneux-Péquignot;7
La Chaux-du-Milieu;9
Le Locle;199
Les Ponts-de-Martel;34
Cornaux;35
Cressier (NE);21
Enges;X
Hauterive (NE);21
Le Landeron;55
Lignières;14
Neuchâtel;303
Saint-Blaise;45
La Tène;58
Valangin;7
Val-de-Ruz;223
La Côte-aux-Fées;12
Les Verrières;19
Val-de-Travers;208
Aire-la-Ville;18
Anières;13
Avully;8
Avusy;16
Bardonnex;20
Bellevue;13
Bernex;63
Carouge (GE);399
Cartigny;13
Céligny;X
Chancy;9
Chêne-Bougeries;56
Chêne-Bourg;111
Choulex;16
Collex-Bossy;11
Collonge-Bellerive;84
Cologny;16
Confignon;28
Corsier (GE);14
Dardagny;11
Genève;1'472
Genthod;16
Le Grand-Saconnex;64
Gy;7
Hermance;5
Jussy;20
Laconnex;5
Lancy;310
Meinier;48
Meyrin;281
Onex;95
Perly-Certoux;52
Plan-les-Ouates;199
Pregny-Chambésy;15
Presinge;8
Puplinge;16
Russin;5
Satigny;216
Soral;5
Thônex;96
Troinex;18
Vandoeuvres;12
Vernier;428
Versoix;89
Veyrier;57
Boécourt;15
Bourrignon;5
Châtillon (JU);X
Courchapoix;6
Courrendlin;47
Courroux;46
Courtételle;26
Delémont;180
Develier;28
Ederswiler;X
Mervelier;8
Mettembert;X
Movelier;10
Pleigne;X
Rossemaison;13
Saulcy;X
Soyhières;7
Haute-Sorne;127
Val Terbi;52
Le Bémont (JU);X
Les Bois;24
Les Breuleux;31
La Chaux-des-Breuleux;X
Les Enfers;X
Les Genevez (JU);12
Lajoux (JU);12
Montfaucon;10
Muriaux;8
Le Noirmont;53
Saignelégier;60
Saint-Brais;X
Soubey;X
Alle;29
Beurnevésin;X
Boncourt;19
Bonfol;22
Bure;10
Coeuve;10
Cornol;19
Courchavon;6
Courgenay;48
Courtedoux;10
Damphreux;X
Fahy;12
Fontenais;26
Grandfontaine;8
Lugnez;5
Porrentruy;102
Vendlincourt;9
Basse-Allaine;20
Clos du Doubs;22
Haute-Ajoie;14
La Baroche;27
